Ticker,Start_Date,M1_Price,M1_Percent_Change,M2_Price,M2_Percent_Change,M3_Price,M3_Percent_Change,M4_Price,M4_Percent_Change,M5_Price,M5_Percent_Change,M6_Price,M6_Percent_Change,M7_Price,M7_Percent_Change,M8_Price,M8_Percent_Change,M9_Price,M9_Percent_Change,M10_Price,M10_Percent_Change,M11_Price,M11_Percent_Change,Final_Rolling_Performance,Num_Sell_Events,Total_Reset_Value,Portfolio_Weight,Sell_Events_Impact,Rolling_Performance_Track,Total Loss $1M
WMT,1/1/23,46.61,0.78,45.77,-1.8,48.13,5.16,49.2,2.22,47.81,-2.83,51.28,7.26,52.3,1.99,53.45,2.2,52.34,-2.08,53.89,2.96,50.99,-5.38,10.48,0,0,1.33,0,M1:0.78% -> M2:-1.02% -> M3:4.14% -> M4:6.36% -> M5:3.53% -> M6:10.79% -> M7:12.78% -> M8:14.98% -> M9:12.9% -> M10:15.86% -> M11:10.48%,
LLY,1/1/23,336.66,-6.41,305.44,-9.27,338.19,10.72,391.42,15.74,425.05,8.59,460.6,8.36,449.82,-2.34,550.74,22.44,530.64,-3.65,549.44,3.54,586.85,6.81,70.21,1,-15.68,1.24,-1947.81,M1:-6.41% -> M2:-15.68% [SELL] -> M3:10.72% -> M4:26.46% -> M5:35.05% -> M6:43.41% -> M7:41.07% -> M8:63.51% -> M9:59.86% -> M10:63.4% -> M11:70.21%,
JPM,1/1/23,131.37,2.95,135.07,2.82,123.48,-8.58,136.28,10.37,130.78,-4.04,140.04,7.08,151.85,8.43,140.91,-7.2,139.69,-0.87,135.3,-3.14,151.4,11.9,19.72,0,0,1.2,0,M1:2.95% -> M2:5.77% -> M3:-2.81% -> M4:7.56% -> M5:3.52% -> M6:10.6% -> M7:19.03% -> M8:11.83% -> M9:10.96% -> M10:7.82% -> M11:19.72%,
V,1/1/23,225.46,9.6,216.14,-4.13,221.82,2.63,229.35,3.39,219.79,-4.17,233.87,6.41,234.01,0.06,244.66,4.55,226.64,-7.37,233.46,3.01,253.42,8.55,22.53,0,0,1.11,0,M1:9.6% -> M2:5.47% -> M3:8.1% -> M4:11.49% -> M5:7.32% -> M6:13.73% -> M7:13.79% -> M8:18.34% -> M9:10.97% -> M10:13.98% -> M11:22.53%,
MA,1/1/23,364.28,5.49,349.88,-3.95,358.39,2.43,376.65,5.1,363.46,-3.5,387.39,6.58,390.37,0.77,410.26,5.1,390.19,-4.89,375.94,-3.65,409.91,9.04,18.52,0,0,0.87,0,M1:5.49% -> M2:1.54% -> M3:3.97% -> M4:9.07% -> M5:5.57% -> M6:12.15% -> M7:12.92% -> M8:18.02% -> M9:13.13% -> M10:9.48% -> M11:18.52%,
ORCL,1/1/23,86.11,7.56,84.67,-1.67,90.01,6.31,92.76,3.06,102.62,10.63,115.47,12.52,114.8,-0.58,118.82,3.5,103.9,-12.56,102.29,-1.55,114.39,11.83,39.05,0,0,0.85,0,M1:7.56% -> M2:5.89% -> M3:12.2% -> M4:15.26% -> M5:25.89% -> M6:38.41% -> M7:37.83% -> M8:41.33% -> M9:28.77% -> M10:27.22% -> M11:39.05%,
XOM,1/1/23,107.35,5.51,102.09,-4.9,105.9,3.73,108.33,2.29,95.85,-11.52,101.26,5.64,100.75,-0.5,106.56,5.77,111.62,4.75,101.18,-9.35,98.24,-2.91,-1.49,0,0,0.84,0,M1:5.51% -> M2:0.61% -> M3:4.34% -> M4:6.63% -> M5:-4.89% -> M6:0.75% -> M7:0.25% -> M8:6.02% -> M9:10.77% -> M10:1.42% -> M11:-1.49%,
UNH,1/1/23,484.94,-4.8,459.39,-5.27,472.31,2.81,481.45,1.94,474.83,-1.38,467.31,-1.58,496.05,6.15,468.19,-5.62,496.04,5.95,520.04,4.84,540.09,3.86,16.97,1,-10.07,0.83,-833.87,M1:-4.8% -> M2:-10.07% [SELL] -> M3:2.81% -> M4:4.75% -> M5:3.37% -> M6:1.79% -> M7:7.94% -> M8:2.32% -> M9:8.27% -> M10:13.11% -> M11:16.97%,
COST,1/1/23,489.87,10.99,464.45,-5.19,479.32,3.2,481.88,0.53,492.73,2.25,519.74,5.48,542.36,4.35,536.06,-1.16,550.44,2.68,537.93,-2.27,576.08,7.09,27.95,0,0,0.76,0,M1:10.99% -> M2:5.8% -> M3:9.0% -> M4:9.53% -> M5:11.78% -> M6:17.26% -> M7:21.61% -> M8:20.45% -> M9:23.13% -> M10:20.86% -> M11:27.95%,
PG,1/1/23,135.22,-5.29,131.39,-2.83,141.26,7.51,149.43,5.78,137.19,-8.19,145.07,5.74,150.22,3.55,149.28,-0.63,139.53,-6.53,146.13,4.73,148.7,1.76,5.6,0,0,0.71,0,M1:-5.29% -> M2:-8.12% -> M3:-0.61% -> M4:5.17% -> M5:-3.02% -> M6:2.72% -> M7:6.27% -> M8:5.64% -> M9:-0.89% -> M10:3.84% -> M11:5.6%,
HD,1/1/23,306.16,1.57,277.23,-9.45,282.06,1.74,285.99,1.39,273.66,-4.31,298.45,9.06,319.63,7.1,321.9,0.71,291.38,-9.48,276.9,-4.97,306.33,10.63,3.99,0,0,0.7,0,M1:1.57% -> M2:-7.88% -> M3:-6.14% -> M4:-4.75% -> M5:-9.06% -> M6:0.0% -> M7:7.1% -> M8:7.81% -> M9:-1.67% -> M10:-6.64% -> M11:3.99%,
NFLX,1/1/23,353.86,18.72,321.55,-9.13,341.83,6.31,329.44,-3.62,397.41,20.63,439.76,10.66,437.37,-0.54,437.73,0.08,377.48,-13.76,414.77,9.88,473.17,14.08,53.31,0,0,0.7,0,M1:18.72% -> M2:9.59% -> M3:15.9% -> M4:12.28% -> M5:32.91% -> M6:43.57% -> M7:43.03% -> M8:43.11% -> M9:29.35% -> M10:39.23% -> M11:53.31%,
JNJ,1/1/23,152.12,-7.48,143.83,-5.45,145.65,1.27,153.79,5.59,146.36,-4.83,155.65,6.35,157.57,1.23,153.99,-2.27,148.27,-3.71,142.32,-4.01,150.44,5.71,5.33,1,-12.93,0.63,-809.14,M1:-7.48% -> M2:-12.93% [SELL] -> M3:1.27% -> M4:6.86% -> M5:2.03% -> M6:8.38% -> M7:9.61% -> M8:7.34% -> M9:3.63% -> M10:-0.38% -> M11:5.33%,
BAC,1/1/23,33.08,5.92,32.09,-2.99,27.09,-15.58,27.9,2.99,26.26,-5.88,27.36,4.19,30.36,10.96,27.65,-8.93,26.22,-5.17,25.42,-3.05,29.46,15.89,11,1,-12.65,0.61,-771.33,M1:5.92% -> M2:2.93% -> M3:-12.65% [SELL] -> M4:2.99% -> M5:-2.89% -> M6:1.3% -> M7:12.26% -> M8:3.33% -> M9:-1.84% -> M10:-4.89% -> M11:11.0%,
CRM,1/1/23,166.8,24.07,162.08,-2.83,197.12,21.62,196.66,-0.23,207.06,5.29,209.4,1.13,222.65,6.33,222.26,-0.18,199.68,-10.16,199.8,0.06,248.61,24.43,69.53,0,0,0.59,0,M1:24.07% -> M2:21.24% -> M3:42.86% -> M4:42.63% -> M5:47.92% -> M6:49.05% -> M7:55.38% -> M8:55.2% -> M9:45.04% -> M10:45.1% -> M11:69.53%,
ABBV,1/1/23,135.98,-8.65,141.66,4.18,146.75,3.59,141.17,-3.8,126.59,-10.33,125.41,-0.93,141.94,13.18,139.44,-1.76,140.49,0.75,135.58,-3.49,136.23,0.48,8.23,1,-15.01,0.56,-837.89,M1:-8.65% -> M2:-4.47% -> M3:-0.88% -> M4:-4.68% -> M5:-15.01% [SELL] -> M6:-0.93% -> M7:12.25% -> M8:10.49% -> M9:11.24% -> M10:7.75% -> M11:8.23%,
KO,1/1/23,57.51,-3.81,55.62,-3.29,59.05,6.17,60.81,2.98,56.82,-6.56,57.5,1.2,59.3,3.13,57.31,-3.36,53.82,-6.09,54.68,1.6,56.54,3.4,-4.63,0,0,0.48,0,M1:-3.81% -> M2:-7.1% -> M3:-0.93% -> M4:2.05% -> M5:-4.51% -> M6:-3.31% -> M7:-0.18% -> M8:-3.54% -> M9:-9.63% -> M10:-8.03% -> M11:-4.63%,
TMUS,1/1/23,145.86,7.31,138.7,-4.91,141.8,2.24,141.34,-0.32,134.33,-4.96,135.85,1.13,135.06,-0.58,134.03,-0.76,136.83,2.09,141.4,3.34,147.61,4.39,8.97,0,0,0.46,0,M1:7.31% -> M2:2.4% -> M3:4.64% -> M4:4.32% -> M5:-0.64% -> M6:0.49% -> M7:-0.09% -> M8:-0.85% -> M9:1.24% -> M10:4.58% -> M11:8.97%,
CVX,1/1/23,158.12,-2.65,148.11,-6.33,156.28,5.52,154.36,-1.23,140.62,-8.9,146.09,3.89,152.09,4.11,152.61,0.34,157.96,3.51,136.98,-13.28,136.05,-0.68,-2.11,1,-13.59,0.46,-622.72,M1:-2.65% -> M2:-8.98% -> M3:-3.46% -> M4:-4.69% -> M5:-13.59% [SELL] -> M6:3.89% -> M7:8.0% -> M8:8.34% -> M9:11.85% -> M10:-1.43% -> M11:-2.11%,
MRK,1/1/23,101.29,-3.12,100.34,-0.94,101.03,0.69,110.42,9.29,105.52,-4.44,109.88,4.13,105.2,-4.26,105.25,0.05,99.38,-5.58,100.07,0.69,99.4,-0.67,-4.16,0,0,0.45,0,M1:-3.12% -> M2:-4.06% -> M3:-3.37% -> M4:5.92% -> M5:1.48% -> M6:5.61% -> M7:1.35% -> M8:1.4% -> M9:-4.18% -> M10:-3.49% -> M11:-4.16%,
WFC,1/1/23,43.86,12.12,43.99,0.3,35.5,-19.3,38.31,7.92,38.34,0.08,40.88,6.62,43.87,7.31,39.93,-8.98,39.11,-2.05,38.4,-1.82,43.15,12.37,14.57,0,0,0.42,0,M1:12.12% -> M2:12.42% -> M3:-6.88% -> M4:1.04% -> M5:1.12% -> M6:7.74% -> M7:15.05% -> M8:6.07% -> M9:4.02% -> M10:2.2% -> M11:14.57%,
CSCO,1/1/23,45.52,1.9,45.57,0.11,48.98,7.48,44.74,-8.66,47.16,5.41,48.68,3.22,50.21,3.14,54.81,9.16,51.42,-6.19,50.06,-2.64,46.44,-7.23,5.7,0,0,0.42,0,M1:1.9% -> M2:2.01% -> M3:9.49% -> M4:0.83% -> M5:6.24% -> M6:9.46% -> M7:12.6% -> M8:21.76% -> M9:15.57% -> M10:12.93% -> M11:5.7%,
ACN,1/1/23,269.06,3.17,257.79,-4.19,275.67,6.94,272.55,-1.13,298.57,9.55,300.78,0.74,309.17,2.79,319.57,3.36,301.45,-5.67,293.45,-2.65,328.52,11.95,24.86,0,0,0.41,0,M1:3.17% -> M2:-1.02% -> M3:5.92% -> M4:4.79% -> M5:14.34% -> M6:15.08% -> M7:17.87% -> M8:21.23% -> M9:15.56% -> M10:12.91% -> M11:24.86%,
NOW,1/1/23,456.19,15.47,431.94,-5.32,461.53,6.85,456.31,-1.13,534.8,17.2,560.85,4.87,578.24,3.1,593.51,2.64,554.75,-6.53,581,4.73,685.45,17.98,59.86,0,0,0.41,0,M1:15.47% -> M2:10.15% -> M3:17.0% -> M4:15.87% -> M5:33.07% -> M6:37.94% -> M7:41.04% -> M8:43.68% -> M9:37.15% -> M10:41.88% -> M11:59.86%,
AXP,1/1/23,169.02,16.34,169.15,0.08,159.98,-5.42,158.36,-1.01,155.63,-1.72,170.55,9.59,164.9,-3.31,156.18,-5.29,145.72,-6.7,144.42,-0.89,168.26,16.51,18.18,0,0,0.38,0,M1:16.34% -> M2:16.42% -> M3:11.0% -> M4:9.99% -> M5:8.27% -> M6:17.86% -> M7:14.55% -> M8:9.26% -> M9:2.56% -> M10:1.67% -> M11:18.18%,
MCD,1/1/23,253.47,1.33,250.65,-1.11,268.27,7.03,282.33,5.24,272.02,-3.65,285.82,5.07,281.22,-1.61,272.64,-3.05,252.82,-7.27,253.78,0.38,274.96,8.35,10.71,0,0,0.38,0,M1:1.33% -> M2:0.22% -> M3:7.25% -> M4:12.49% -> M5:8.84% -> M6:13.91% -> M7:12.3% -> M8:9.25% -> M9:1.98% -> M10:2.36% -> M11:10.71%,
PEP,1/1/23,160.96,-5.37,162.31,0.84,172.49,6.27,180.6,4.7,172.99,-4.21,175.99,1.73,179.04,1.73,171.87,-4,162.59,-5.4,157.39,-3.2,163.15,3.66,-3.25,0,0,0.38,0,M1:-5.37% -> M2:-4.53% -> M3:1.74% -> M4:6.44% -> M5:2.23% -> M6:3.96% -> M7:5.69% -> M8:1.69% -> M9:-3.71% -> M10:-6.91% -> M11:-3.25%,
BX,1/1/23,88.55,23.5,85.55,-3.39,81.61,-4.61,85.59,4.88,81.86,-4.36,88.65,8.29,100.06,12.87,102.74,2.68,102.19,-0.54,89.64,-12.28,108.76,21.33,48.37,0,0,0.37,0,M1:23.5% -> M2:20.11% -> M3:15.5% -> M4:20.38% -> M5:16.02% -> M6:24.31% -> M7:37.18% -> M8:39.86% -> M9:39.32% -> M10:27.04% -> M11:48.37%,
IBM,1/1/23,122.84,-4.69,119.18,-2.98,121.09,1.6,116.82,-3.53,120.37,3.04,125.04,3.88,135.19,8.12,139.6,3.26,132.75,-4.91,137.46,3.55,151.87,10.48,17.82,0,0,0.37,0,M1:-4.69% -> M2:-7.67% -> M3:-6.07% -> M4:-9.6% -> M5:-6.56% -> M6:-2.68% -> M7:5.44% -> M8:8.7% -> M9:3.79% -> M10:7.34% -> M11:17.82%,
DIS,1/1/23,107.18,21.95,97.98,-8.58,98.99,1.03,101.16,2.19,87.32,-13.68,88.03,0.81,88.03,0,81.11,-7.86,79.93,-1.45,80.54,0.76,91.61,13.74,8.91,0,0,0.37,0,M1:21.95% -> M2:13.37% -> M3:14.4% -> M4:16.59% -> M5:2.91% -> M6:3.72% -> M7:3.72% -> M8:-4.14% -> M9:-5.59% -> M10:-4.83% -> M11:8.91%,
LIN,1/1/23,322.29,4.11,341.16,5.85,345.72,1.34,362.69,4.91,347.51,-4.19,375,7.91,382.69,2.05,382.01,-0.18,365.34,-4.36,376.5,3.05,406.22,7.89,28.38,0,0,0.36,0,M1:4.11% -> M2:9.96% -> M3:11.3% -> M4:16.21% -> M5:12.02% -> M6:19.93% -> M7:21.98% -> M8:21.8% -> M9:17.44% -> M10:20.49% -> M11:28.38%,
TMO,1/1/23,582.94,5.93,536.44,-7.98,566.82,5.66,553.36,-2.37,510.7,-7.71,517.23,1.28,544.31,5.24,561.16,3.1,501.38,-10.65,443.62,-11.52,489.22,10.28,10.28,1,-19.02,0.36,-685.92,M1:5.93% -> M2:-2.05% -> M3:3.61% -> M4:1.24% -> M5:-6.47% -> M6:-5.19% -> M7:0.05% -> M8:3.15% -> M9:-7.5% -> M10:-19.02% [SELL] -> M11:10.28%,
MS,1/1/23,90.18,14.12,89.26,-1.02,81.81,-8.35,84.62,3.43,77.48,-8.44,81.01,4.56,86.36,6.6,81.43,-5.71,76.79,-5.7,68.21,-11.17,75.8,11.13,11.13,1,-11.68,0.36,-417.89,M1:14.12% -> M2:13.1% -> M3:4.75% -> M4:8.18% -> M5:-0.26% -> M6:4.3% -> M7:10.9% -> M8:5.19% -> M9:-0.51% -> M10:-11.68% [SELL] -> M11:11.13%,
ABT,1/1/23,106.41,0.7,96.72,-9.11,96.82,0.1,106.63,10.13,98.38,-7.74,104.5,6.22,107.38,2.76,100.29,-6.6,92.88,-7.39,92.51,-0.4,101.65,9.88,9.48,1,-10.93,0.36,-389.61,M1:0.7% -> M2:-8.41% -> M3:-8.31% -> M4:1.82% -> M5:-5.92% -> M6:0.3% -> M7:3.06% -> M8:-3.54% -> M9:-10.93% [SELL] -> M10:-0.4% -> M11:9.48%,
ADBE,1/1/23,370.01,8.78,323.8,-12.49,380.88,17.63,376.51,-1.15,412.29,9.5,486.39,17.97,545.78,12.21,564.8,3.48,508.24,-10.01,535,5.27,609.24,13.88,65.07,0,0,0.35,0,M1:8.78% -> M2:-3.71% -> M3:13.92% -> M4:12.77% -> M5:22.27% -> M6:40.24% -> M7:52.45% -> M8:55.93% -> M9:45.92% -> M10:51.19% -> M11:65.07%,
AMD,1/1/23,78.47,18.89,78.55,0.1,96.7,23.11,91.03,-5.86,117.29,28.85,115.16,-1.82,114.26,-0.78,107,-6.35,102.21,-4.48,98.58,-3.55,119.88,21.61,69.72,0,0,0.35,0,M1:18.89% -> M2:18.99% -> M3:42.1% -> M4:36.24% -> M5:65.09% -> M6:63.27% -> M7:62.49% -> M8:56.14% -> M9:51.66% -> M10:48.11% -> M11:69.72%,
PM,1/1/23,94.25,2.95,89.29,-5.26,88.86,-0.48,91.17,2.6,82.39,-9.63,90.77,10.17,92.62,2.04,89.6,-3.26,86.69,-3.25,84.12,-2.96,87.66,4.21,-2.87,0,0,0.35,0,M1:2.95% -> M2:-2.31% -> M3:-2.79% -> M4:-0.19% -> M5:-9.82% -> M6:0.35% -> M7:2.39% -> M8:-0.87% -> M9:-4.12% -> M10:-7.08% -> M11:-2.87%,
ISRG,1/1/23,246.8,-8.45,228.47,-7.43,254.3,11.31,301,18.36,308,2.33,339.92,10.36,322,-5.27,317.55,-1.38,291.96,-8.06,262.17,-10.2,310.59,18.47,35.92,1,-15.88,0.34,-533.66,M1:-8.45% -> M2:-15.88% [SELL] -> M3:11.31% -> M4:29.67% -> M5:32.0% -> M6:42.36% -> M7:37.09% -> M8:35.71% -> M9:27.65% -> M10:17.45% -> M11:35.92%,
PLTR,1/1/23,7.73,17.48,7.83,1.29,8.37,6.9,7.75,-7.41,14.46,86.58,15.49,7.12,19.46,25.63,15.16,-22.1,16.03,5.74,14.8,-7.67,19.93,34.66,148.22,0,0,0.33,0,M1:17.48% -> M2:18.77% -> M3:25.67% -> M4:18.26% -> M5:104.84% -> M6:111.96% -> M7:137.59% -> M8:115.49% -> M9:121.23% -> M10:113.56% -> M11:148.22%,
GE,1/1/23,63.45,22.35,66.92,5.47,75.76,13.21,78.72,3.91,80.08,1.73,86.29,7.75,90.02,4.32,91.07,1.17,87.52,-3.9,85.81,-1.95,96.43,12.38,66.44,0,0,0.33,0,M1:22.35% -> M2:27.82% -> M3:41.03% -> M4:44.94% -> M5:46.67% -> M6:54.42% -> M7:58.74% -> M8:59.91% -> M9:56.01% -> M10:54.06% -> M11:66.44%,
INTU,1/1/23,414.97,6.17,399.82,-3.65,437.34,9.38,436.92,-0.1,412.98,-5.48,447.75,8.42,505.8,12.96,540.25,6.81,506.07,-6.33,488.95,-3.38,567.06,15.98,40.78,0,0,0.32,0,M1:6.17% -> M2:2.52% -> M3:11.9% -> M4:11.8% -> M5:6.32% -> M6:14.74% -> M7:27.7% -> M8:34.51% -> M9:28.18% -> M10:24.8% -> M11:40.78%,
GS,1/1/23,338.16,3.94,329.02,-2.7,309.32,-5.99,326.31,5.49,310.12,-4.96,308.11,-0.65,338.3,9.8,317.68,-6.1,310.31,-2.32,292.29,-5.81,331.74,13.5,4.2,0,0,0.32,0,M1:3.94% -> M2:1.24% -> M3:-4.75% -> M4:0.74% -> M5:-4.22% -> M6:-4.87% -> M7:4.93% -> M8:-1.17% -> M9:-3.49% -> M10:-9.3% -> M11:4.2%,
CAT,1/1/23,243.07,5.1,233.67,-3.87,222.08,-4.96,212.93,-4.12,201.61,-5.32,238.76,18.43,266.09,11.45,277.84,4.42,265.98,-4.27,220.75,-17.01,247.03,11.9,24.92,1,-13.17,0.32,-418.74,M1:5.1% -> M2:1.23% -> M3:-3.73% -> M4:-7.85% -> M5:-13.17% [SELL] -> M6:18.43% -> M7:29.88% -> M8:34.3% -> M9:30.03% -> M10:13.02% -> M11:24.92%,
TXN,1/1/23,166.82,6.61,161.2,-3.37,174.67,8.36,158.53,-9.24,167.03,5.36,171.11,2.44,171.19,0.05,162.57,-5.04,152.55,-6.16,137.67,-9.75,147.78,7.34,7.34,1,-10.74,0.31,-329.38,M1:6.61% -> M2:3.24% -> M3:11.6% -> M4:2.36% -> M5:7.72% -> M6:10.16% -> M7:10.21% -> M8:5.17% -> M9:-0.99% -> M10:-10.74% [SELL] -> M11:7.34%,
QCOM,1/1/23,126.04,19.15,117.59,-6.7,121.38,3.22,112.03,-7.7,110.26,-1.58,114.79,4.11,126.96,10.6,112.14,-11.67,107,-4.58,105.81,-1.11,125.89,18.98,22.72,0,0,0.31,0,M1:19.15% -> M2:12.45% -> M3:15.67% -> M4:7.97% -> M5:6.39% -> M6:10.5% -> M7:21.1% -> M8:9.43% -> M9:4.85% -> M10:3.74% -> M11:22.72%,
VZ,1/1/23,36.6,7.24,33.74,-7.81,34.04,0.89,34.71,1.97,31.54,-9.13,32.94,4.44,30.93,-6.1,31.56,2.04,29.26,-7.29,32.62,11.48,35.37,8.43,19.91,1,-13.75,0.3,-415.82,M1:7.24% -> M2:-0.57% -> M3:0.32% -> M4:2.29% -> M5:-6.84% -> M6:-2.4% -> M7:-8.5% -> M8:-6.46% -> M9:-13.75% [SELL] -> M10:11.48% -> M11:19.91%,
BKNG,1/1/23,2396.14,18.81,2502.64,4.44,2616.19,4.54,2651.33,1.34,2476.05,-6.61,2664.57,7.61,2910.38,9.23,3101.56,6.57,3038.58,-2.03,2772.69,-8.75,3091.49,11.5,46.65,0,0,0.3,0,M1:18.81% -> M2:23.25% -> M3:27.79% -> M4:29.13% -> M5:22.52% -> M6:30.13% -> M7:39.36% -> M8:45.93% -> M9:43.9% -> M10:35.15% -> M11:46.65%,
DHR,1/1/23,232.96,-1.01,215.92,-7.31,219.95,1.87,210.42,-4.33,202.08,-3.96,209.25,3.55,224.65,7.36,236.06,5.08,217.59,-7.82,190.81,-12.31,221.22,15.94,7.84,1,-10.78,0.3,-320.16,M1:-1.01% -> M2:-8.32% -> M3:-6.45% -> M4:-10.78% [SELL] -> M5:-3.96% -> M6:-0.41% -> M7:6.95% -> M8:12.03% -> M9:4.21% -> M10:-8.1% -> M11:7.84%,
T,1/1/23,18.09,12.15,16.64,-8.02,17.03,2.34,15.9,-6.64,14.12,-11.19,14.3,1.27,13.29,-7.06,13.51,1.66,13.72,1.55,14.4,4.96,15.44,7.22,9.6,1,-11.36,0.29,-333.63,M1:12.15% -> M2:4.13% -> M3:6.47% -> M4:-0.17% -> M5:-11.36% [SELL] -> M6:1.27% -> M7:-5.79% -> M8:-4.13% -> M9:-2.58% -> M10:2.38% -> M11:9.6%,
BLK,1/1/23,711.63,4.68,645,-9.36,631.95,-2.02,642,1.59,631.05,-1.71,661.01,4.75,702.51,6.28,674.61,-3.97,622.1,-7.78,592.94,-4.69,723.7,22.05,22.05,1,-12.23,0.29,-350.56,M1:4.68% -> M2:-4.68% -> M3:-6.7% -> M4:-5.11% -> M5:-6.82% -> M6:-2.07% -> M7:4.21% -> M8:0.24% -> M9:-7.54% -> M10:-12.23% [SELL] -> M11:22.05%,
